id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
524,-,-,Auditorios,192.168.6.254,5/1/25,,,on/off,1.1.18,18,
525,-,-,Auditorios,192.168.6.254,5/1/26,,,on/off,1.1.18,18,
526,-,-,Auditorios,192.168.6.254,5/1/27,,,on/off,1.1.18,18,
527,-,-,Auditorios,192.168.6.254,5/1/28,,,on/off,1.1.18,18,
528,-,-,Auditorios,192.168.6.254,5/1/29,,,on/off,1.1.18,18,
529,-,-,Auditorios,192.168.6.254,5/1/30,,,on/off,1.1.18,18,
530,-,-,Auditorios,192.168.6.254,5/1/31,,,on/off,1.1.18,18,
531,-,-,Auditorios,192.168.6.254,2/0/0,5/1/3,,on/off,1.1.19,19,5/1/15 23/7/1
532,-,-,Auditorios,192.168.6.254,2/0/1,5/1/1,,on/off,1.1.19,19,5/1/13 5/1/25 23/7/1
533,-,-,Auditorios,192.168.6.254,2/0/2,5/1/3,,on/off,1.1.19,19,5/1/15 23/7/1
534,-,-,Auditorios,192.168.6.254,2/0/3,5/1/3,,on/off,1.1.19,19,5/1/15 23/7/1
535,-,-,Auditorios,192.168.6.254,2/0/4,5/1/3,,on/off,1.1.19,19,5/1/15
536,-,-,Auditorios,192.168.6.254,2/0/5,5/1/0,,on/off,1.1.19,19,5/1/12 5/1/24 23/7/1
537,-,-,Auditorios,192.168.6.254,2/0/6,5/1/2,,on/off,1.1.19,19,5/1/14 5/1/26 23/7/1
538,-,-,Auditorios,192.168.6.254,2/0/7,5/1/3,,on/off,1.1.19,19,5/1/15 23/7/1
539,-,-,Auditorios,192.168.6.254,2/0/8,23/7/3,,on/off,1.1.19,19,
540,-,-,Auditorios,192.168.6.254,2/0/9,23/7/3,,on/off,1.1.19,19,
541,-,-,Auditorios,192.168.6.254,2/0/10,23/7/3,,on/off,1.1.19,19,
542,-,-,Auditorios,192.168.6.254,2/0/11,23/7/3,,on/off,1.1.19,19,
543,-,-,Auditorios,192.168.6.254,4/2/3,2/0/12,,on/off,1.1.19,19,
